original	mispronounced 	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced	mispronounced
Aaberg	Aa-e-g 	A-ber- 	-ab-rg 	-abe-g-- 	Aab-rg- 	Aaber---- 	Aabe-g 	Aab-rg 	Aaber- 	Aaberg- 	Aaberg- 	Aaberg- 	Aaberg- 	Aaberg- 	Aaberg- 	Aaberg- 	-ab-rg---- 	Aaberg---- 	Aaberg---- 	-----rg 	Aa----g 	Aab----- 	Aaberg----- 	Aaberg----- 	--be--g---- 	---erg 	-a-erg 	-ab-rg 	-abe-g 
Aachen	Aa-h-n 	A-che- 	-ac-en 	-ach-n-- 	Aac-en- 	Aache---- 	Aach-n 	Aac-en 	Aache- 	Aachen- 	Aachen- 	Aachen- 	Aachen- 	Aachen- 	Aachen- 	Aachen- 	-ac-en---- 	Aachen---- 	Aachen---- 	-----en 	Aa----n 	Aac----- 	Aachen----- 	Aachen----- 	--ch--n---- 	---hen 	-a-hen 	-ac-en 	-ach-n 
AAE	AA-- 	A-E- 	-AE- 	-AE--- 	AAE-- 	AAE---- 	AAE- 	AAE- 	AAE- 	AAE- 	AAE- 	AAE- 	AAE- 	AAE- 	AAE- 	AAE- 	-AE----- 	AAE---- 	AAE---- 	----- 	AA---- 	AAE----- 	AAE----- 	AAE----- 	--E------ 	--- 	-A- 	-AE- 	-AE- 
AAEE	AA-E- 	A-EE- 	-AE- 	-AEE--- 	AAE-- 	AAEE---- 	AAEE- 	AAE- 	AAEE- 	AAEE- 	AAEE- 	AAEE- 	AAEE- 	AAEE- 	AAEE- 	AAEE- 	-AE----- 	AAEE---- 	AAEE---- 	----- 	AA---- 	AAE----- 	AAEE----- 	AAEE----- 	--EE------ 	---E 	-A-E 	-AE- 	-AEE- 
AAF	AA-- 	A-F- 	-AF- 	-AF--- 	AAF-- 	AAF---- 	AAF- 	AAF- 	AAF- 	AAF- 	AAF- 	AAF- 	AAF- 	AAF- 	AAF- 	AAF- 	-AF----- 	AAF---- 	AAF---- 	----- 	AA---- 	AAF----- 	AAF----- 	AAF----- 	--F------ 	--- 	-A- 	-AF- 	-AF- 
AAG	AA-- 	A-G- 	-AG- 	-AG--- 	AAG-- 	AAG---- 	AAG- 	AAG- 	AAG- 	AAG- 	AAG- 	AAG- 	AAG- 	AAG- 	AAG- 	AAG- 	-AG----- 	AAG---- 	AAG---- 	----- 	AA---- 	AAG----- 	AAG----- 	AAG----- 	--G------ 	--- 	-A- 	-AG- 	-AG- 
aah	aa-- 	a-h- 	-ah- 	-ah--- 	aah-- 	aah---- 	aah- 	aah- 	aah- 	aah- 	aah- 	aah- 	aah- 	aah- 	aah- 	aah- 	-ah----- 	aah---- 	aah---- 	----- 	aa---- 	aah----- 	aah----- 	aah----- 	--h------ 	--- 	-a- 	-ah- 	-ah- 
aahed	aa-e- 	a-hed- 	-ah-d 	-ahe--- 	aah-d- 	aahed---- 	aahe- 	aah-d 	aahed- 	aahed- 	aahed- 	aahed- 	aahed- 	aahed- 	aahed- 	aahed- 	-ah-d---- 	aahed---- 	aahed---- 	-----d 	aa---- 	aah----- 	aahed----- 	aahed----- 	--he------ 	---ed 	-a-ed 	-ah-d 	-ahe- 
aahing	aa-i-g 	a-hin- 	-ah-ng 	-ahi-g-- 	aah-ng- 	aahin---- 	aahi-g 	aah-ng 	aahin- 	aahing- 	aahing- 	aahing- 	aahing- 	aahing- 	aahing- 	aahing- 	-ah-ng---- 	aahing---- 	aahing---- 	-----ng 	aa----g 	aah----- 	aahing----- 	aahing----- 	--hi--g---- 	---ing 	-a-ing 	-ah-ng 	-ahi-g 
